"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Weißenhof";566,284412354674;767,898799152586;659,928717562451;654,66352806474
"Wildpark";2,11876151602498;3,29475661784026;2,66974784679622;2,65269272760379
"Winterhalde";748,098321168668;1029,70776410151;876,731604876958;874,281316059389
"Wolfbusch";560,358040728227;798,162170824127;678,018358442401;679,084753360441
"Zazenhausen";426,079742864559;578,472851775125;493,66997017821;491,914219715952
"Zuffenhausen-Am Stadtpark";604,149474064219;853,511403015304;710,25622719135;706,163701069648
"Zuffenhausen-Elbelen";114,477669512296;155,866860561396;132,629697646284;132,07611987434
"Zuffenhausen-Frauensteg";306,027308269077;418,104452320271;355,556919940692;354,249987113521
"Zuffenhausen-Hohenstein";667,871165477708;917,322501349675;778,490734642112;774,85482750955
"Zuffenhausen-Im Raiser";178,82601888843;228,562126215093;203,036162077131;202,945761619343
"Zuffenhausen-Mitte";1380,2298916382;1896,14077336389;1609,63704405659;1601,63917732508
"Zuffenhausen-Mönchsberg";819,205251017622;1181,61396294995;973,114601341635;965,40675321338
"Zuffenhausen-Schützenbühl";287,078280960635;415,515021443001;342,498400773263;339,224780652908
