"";"Observation.No";"Observed.y";"Predicted.Prob";"Predicted.y"
"2060";1570;0;0,422168285696177;0
"2604";1985;1;0,640574284197308;1
"2990";2266;0;0,332729927327417;0
"1037";788;0;0,311765302515293;0
"2894";2200;1;0,717987082257941;1
"448";351;1;0,739537668511892;1
"949";720;0;0,322202745641432;0
"1595";1213;0;0,456820448439439;0
"2993";2269;1;0,704612176827695;1
"149";112;1;0,557859693710397;1
"2561";1952;0;0,267741458874068;0
"1278";976;0;0,351940048305828;0
"2200";1680;0;0,31288835770639;0
"1423";1089;0;0,549540221415;1
"2591";1974;0;0,292329264364221;0
"2395";1835;0;0,233259216600312;0
"1791";1359;0;0,47482058980666;0
"1246";948;1;0,391122632695858;0
"1311";1004;0;0,330709059782007;0
"1640";1245;1;0,555573941769179;1
"1134";864;1;0,472441994687909;0
"1654";1256;0;0,245961201710668;0
"1598";1215;0;0,387951364197793;0
"380";294;0;0,345982984400312;0
"615";474;1;0,376124478290928;0
"2429";1861;1;0,424048098361822;0
"1748";1324;1;0,300543406757616;0
"1687";1277;0;0,391706845365463;0
"552";426;1;0,289080209584171;0
"1787";1356;0;0,176538022492559;0
"1279";977;1;0,509891825746065;1
"3000";2276;1;0,367129952517245;0
"883";673;0;0,498303781856302;0
"2690";2047;0;0,210671247418676;0
"1196";906;1;0,375118648055685;0
"952";723;0;0,598324326566181;1
"1916";1462;0;0,375234782721542;0
"2136";1629;0;0,357531981074672;0
"2821";2145;0;0,643418566874438;1
"904";688;0;0,284589777063648;0
"2018";1541;0;0,290638641144686;0
"2624";1997;0;0,396538970891924;0
"2936";2232;0;0,490986129048848;0
"3039";2304;0;0,475950794213613;0
"2898";2201;0;0,34712341762668;0
"2287";1748;1;0,476412141761362;0
"1596";1214;1;0,402193349882658;0
"130";98;1;0,707167707086901;1
"1610";1223;1;0,673504108941283;1
"3093";2339;0;0,279124193016837;0
"2010";1534;1;0,494464686274318;0
"1427";1091;0;0,187146538716401;0
"2817";2142;1;0,495354203597149;0
"61";45;1;0,296372937080788;0
"1876";1432;1;0,625680718439065;1
"1129";859;1;0,303898852364037;0
"713";546;0;0,515646524124195;1
"1356";1038;0;0,524397096690702;1
"2575";1961;0;0,164238281814648;0
"2915";2215;0;0,25763399348527;0
"1666";1263;0;0,479511128095175;0
"1497";1140;1;0,596003035940293;1
"3102";2345;0;0,319672174962233;0
"1919";1464;0;0,330072575410991;0
"2926";2224;1;0,476152826558868;0
"630";486;1;0,427788653183961;0
"3135";2371;0;0,493997227892463;0
"2300";1759;1;0,577847107370652;1
"987";747;1;0,475062534276211;0
"1105";838;0;0,43460005208896;0
"1383";1060;1;0,69687541251193;1
"3053";2316;0;0,28826353088541;0
"1456";1112;1;0,34749534085385;0
"85";64;0;0,592999866043257;1
"2498";1910;1;0,524243631407069;1
"1646";1249;0;0,381205294909129;0
"265";201;0;0,345255432935217;0
"1972";1506;1;0,544349314963245;1
"1951";1491;0;0,353901674712091;0
"2483";1901;1;0,331505689386681;0
"1185";899;1;0,564179213853019;1
"1691";1280;1;0,632160363220185;1
"1303";999;1;0,48627275905641;0
"2282";1744;0;0,558416280475465;1
"589";452;0;0,49307205764637;0
"2448";1872;1;0,489540858919017;0
"1547";1173;1;0,476096263630212;0
"2196";1676;1;0,515399714527804;1
"2956";2240;1;0,313134708597404;0
"1166";886;0;0,339345418894734;0
"1682";1274;0;0,42690454886024;0
"103";75;1;0,562372686744462;1
"1242";945;0;0,462782587313272;0
"2874";2184;1;0,608012708612733;1
"1906";1455;0;0,488492315008357;0
"2513";1921;0;0,516868609002623;1
"3097";2342;0;0,579426488997088;1
"2173";1656;1;0,674777575370392;1
"455";355;1;0,197656008601818;0
"16";13;0;0,561267200576602;1
"3015";2288;0;0,481552012505581;0
"1228";932;1;0,499298289302501;0
"1116";847;0;0,254192343569333;0
"1781";1350;0;0,308357748549838;0
"260";197;0;0,370944953257437;0
"1647";1250;1;0,477551355592493;0
"251";189;1;0,5111022267515;1
"2826";2150;0;0,521827683605731;1
"2854";2174;0;0,211616102892321;0
"863";658;1;0,376787618517261;0
"1249";951;0;0,399737641689551;0
"2382";1823;0;0,477764455368839;0
"2340";1791;1;0,496350387339293;0
"2335";1787;0;0,343877781841927;0
"2506";1916;0;0,428732222625398;0
"3063";2321;1;0,555994416044905;1
"2256";1722;1;0,294363514597896;0
"1703";1288;0;0,284308638703563;0
"2405";1844;0;0,622607668597624;1
"2997";2273;0;0,282402153411404;0
"744";569;0;0,5011243557098;1
"2534";1936;0;0,310087254001045;0
"1406";1078;1;0,449486693957687;0
"409";318;1;0,448089686490424;0
"760";582;1;0,369600526094;0
"1931";1474;0;0,37789675587278;0
"442";345;1;0,501629062945092;1
"1940";1481;0;0,513842769555081;1
"1084";821;0;0,328269222894414;0
"2504";1915;0;0,363406607507933;0
"2796";2127;0;0,362198974232364;0
"335";257;0;0,365845006697919;0
"205";148;1;0,561466826129312;1
"2286";1747;0;0,541470427588524;1
"857";655;0;0,339759123090744;0
"2179";1661;1;0,313053240088105;0
"548";422;1;0,303183199159279;0
"2641";2010;0;0,510787084904782;1
"2694";2051;0;0,560738647852617;1
"2215";1691;1;0,465708897132627;0
