"";"Observation.No";"Observed.y";"Predicted.y"
"862";840;1;1
"707";695;1;1
"1956";1905;2;1
"881";859;1;3
"3123";3042;1;3
"798";781;1;1
"1256";1225;3;1
"1769";1727;1;1
"2967";2888;3;1
"2382";2316;1;1
"806";789;1;1
"108";108;1;1
"1997";1946;1;1
"1783";1740;1;3
"1569";1534;3;1
"664";652;1;1
"2975";2896;1;1
"1435";1401;1;1
"614";605;3;1
"2992";2913;3;1
"2356";2291;1;3
"2208";2149;2;1
"1562";1527;2;1
"1522";1488;2;3
"3028";2949;1;1
"1053";1027;1;1
"1808";1764;2;1
"1813";1769;1;1
"234";233;3;3
"2418";2351;1;1
"654";642;3;3
"873";851;2;1
"1080";1052;1;1
"232";231;3;3
"1229";1198;2;1
"1690";1650;1;1
"1099";1070;1;1
"2742";2666;3;3
"2989";2910;1;3
"1002";979;1;1
"2786";2710;1;1
"2891";2813;2;1
"2633";2559;3;3
"2731";2655;1;1
"1191";1161;3;3
"3001";2922;1;3
"1502";1468;3;3
"2260";2201;2;1
"562";553;2;1
"50";50;2;1
"1123";1093;2;1
"1586";1551;2;3
"674";662;1;1
"1515";1481;2;1
"2682";2607;2;3
"597";588;3;1
"1614";1578;3;3
"350";347;3;3
"3122";3041;1;1
"2915";2837;3;1
"2352";2287;2;3
"752";737;1;3
"3125";3044;1;1
"124";124;1;1
"2416";2349;3;1
"3117";3036;3;1
"2559";2485;2;1
"2130";2075;1;1
"87";87;3;1
"1931";1881;3;3
"2690";2615;2;3
"2069";2015;1;1
"2552";2479;1;1
"2590";2516;2;1
"1765";1723;3;1
"1600";1564;1;3
"1102";1073;3;3
"283";281;1;3
"1786";1743;1;1
"1903";1854;1;1
"3104";3023;1;1
"1831";1784;3;1
"2948";2869;2;1
"1063";1037;1;3
"1426";1392;1;1
"1644";1607;2;1
"2840";2763;1;3
"501";495;3;3
"805";788;2;1
"1264";1232;3;1
"921";898;1;1
"1333";1300;3;1
"1146";1116;1;1
"479";474;3;1
"1564";1529;1;1
"1049";1023;1;1
"1161";1131;1;1
"1535";1500;3;1
"2910";2832;3;1
"659";647;1;1
"193";192;1;1
"278";276;1;1
"492";486;1;3
"9";9;1;1
"1807";1763;3;1
"2913";2835;1;1
"2106";2051;3;3
"1311";1278;1;3
"747";732;2;1
"2062";2008;1;1
"2781";2705;1;3
"1798";1754;3;1
"2083";2028;3;3
"787";771;1;3
"335";333;2;3
"683";671;1;1
"2685";2610;1;3
"1380";1347;3;3
"1710";1670;1;1
"1464";1430;1;3
"141";141;3;3
"1908";1859;3;1
"3036";2956;1;1
"883";861;3;1
"784";768;3;3
"2919";2841;2;3
"2012";1960;1;1
"1654";1616;3;3
"1666";1628;1;3
"2519";2447;3;3
"248";247;1;1
"1217";1187;1;3
"1996";1945;1;3
"2503";2431;1;1
"125";125;1;1
"180";179;3;1
