"";"Observation.No";"Observed.y";"Predicted.y"
"1337";2629;1;2
"1762";2309;1;2
"6211";3422;5;3
"12810";3301;4;3
"2896";1036;3;1
"3116";651;2;2
"521";3229;1;2
"415";682;1;2
"2879";3111;2;2
"1132";2392;2;1
"2665";1214;1;1
"759";2618;2;2
"2559";2058;1;2
"1984";1978;2;2
"2881";3113;2;2
"2608";2562;2;1
"2171";2117;2;2
"580";1480;2;1
"3021";2281;2;1
"754";2258;2;2
"3045";2566;1;2
"2974";753;3;2
"1889";3339;2;2
"1927";2969;2;2
"1211";1706;2;2
"1258";568;1;2
"2398";2047;2;2
"1837";3166;2;2
"1741";2302;2;2
"579";426;2;1
"1620";399;2;2
"1877";711;1;2
"1281";2841;1;2
"1880";2496;2;2
"909";1641;2;1
"2365";1276;1;1
"1995";1832;2;1
"1113";2667;2;2
"1170";3355;2;2
"7110";703;4;3
"1108";165;2;1
"2311";2859;2;1
"2073";228;2;2
"972";2537;1;1
"2649";11;3;2
"873";852;2;2
"616";2215;1;1
"3144";1605;3;3
"864";1319;2;2
"2849";1530;1;2
"2629";2239;1;1
"3109";379;1;2
"2637";235;1;1
"937";2353;1;2
"12110";3213;4;2
"1074";857;2;2
"2144";2262;2;2
"983";1223;2;1
"1931";491;2;1
"1059";2142;3;2
"1232";2020;3;2
"1751";2108;2;1
"737";926;3;2
"2981";2927;2;2
"1356";1809;2;1
"2021";2806;3;2
"1525";2719;1;1
"2647";212;2;2
"2277";953;2;2
"2129";2553;1;1
"1763";2310;1;2
"761";2619;2;2
"508";2934;1;1
"1382";2103;2;1
"1629";1644;2;1
"25101";3429;2;5
"8210";1169;4;3
"2953";2512;2;1
"2074";229;2;1
"2747";2864;1;1
"1425";1433;2;2
"494";971;2;2
"1553";3156;3;2
"9410";1536;4;3
"2639";237;1;1
"63";542;2;2
"1205";1807;1;2
"844";604;2;2
"2516";2471;4;1
"2041";3100;3;2
"2371";721;3;2
"1597";440;1;2
"1302";3306;2;2
"2625";3184;2;2
"2817";30;1;1
"2970";749;2;2
"847";634;1;2
"2351";1518;2;2
"1563";3335;1;2
"3011";1653;1;1
"2149";1462;1;2
"443";1292;2;2
"1307";1250;1;1
"2212";819;3;2
"1660";101;2;1
"2743";2242;2;2
"952";2665;2;2
"1321";1051;1;2
"1988";1647;1;2
"208";763;2;2
"2141";1516;1;1
"1601";2025;2;2
"3088";3290;2;2
"2645";939;3;2
"512";1115;1;2
"12510";3273;4;3
