"";"Observation.No";"Observed.y";"Predicted.y"
"2643";1689;1;1
"1576";2032;0;1
"1315";1137;0;1
"1484";276;0;1
"864";942;1;1
"1300";884;0;1
"2823";1657;1;1
"81";2065;1;1
"1103";2078;0;1
"1225";1637;1;1
"3131";1965;0;1
"2201";1503;0;1
"2068";580;0;1
"3124";921;1;1
"2119";424;0;1
"1334";1911;0;1
"2215";828;1;1
"1713";169;0;1
"1469";501;1;1
"913";1014;1;1
"1631";913;1;1
"3102";2006;0;1
"898";1054;0;1
"106";982;1;1
"2934";696;0;1
"2312";2043;1;1
"2962";1671;0;1
"811";1273;0;1
"503";210;1;1
"798";638;0;1
"1081";2235;1;1
"2912";1148;0;1
"2086";2265;0;1
"2286";470;0;1
"2372";525;0;1
"29";1356;0;1
"1975";1214;0;1
"250";527;1;1
"777";1266;0;1
"668";2227;0;1
"334";714;0;1
"1527";5;0;1
"193";1545;1;1
"61";699;1;1
"1349";113;0;1
"1800";2385;0;1
"8";875;0;1
"933";1633;1;1
"1970";963;1;1
"1587";575;0;1
"728";1602;1;1
"1914";355;0;1
"2886";1477;0;1
"1591";910;1;1
"2523";288;0;1
"2236";428;0;1
"3134";1754;0;1
"570";664;1;1
"2404";1457;0;1
"31";381;0;1
"2483";1186;1;1
"2620";1790;0;1
"341";859;1;1
"94";400;0;1
"738";2172;0;1
"1198";703;0;1
"1486";2245;0;1
"2888";1478;0;1
"1707";1282;0;1
"2200";1348;0;1
"960";1810;0;1
"1772";1065;1;1
"1229";4;1;1
"2841";1771;0;1
"909";1154;0;1
"308";185;1;1
"1599";1430;1;1
"1729";1139;0;1
"1467";1856;1;1
"2154";1583;0;1
"2591";55;0;1
"2334";1616;1;1
"1929";488;1;1
"64";2404;1;1
"1822";2110;0;1
"3";769;1;1
"1863";139;1;1
"1447";1839;0;1
"590";148;1;1
"2014";2195;1;1
"1199";704;0;1
"2531";366;1;1
"1998";1294;0;1
"2602";1133;1;1
"1034";2335;1;1
"1145";339;0;1
"2294";2161;1;1
"1223";754;1;1
"426";1259;0;1
"722";1319;0;1
"2770";1024;1;1
"2441";1181;1;1
"277";1479;0;1
"126";35;1;1
"2656";794;1;1
"2857";1405;1;1
"1589";576;0;1
"420";1253;0;1
"2982";2092;0;1
"2218";1884;1;1
"1478";1174;0;1
"1698";448;0;1
"2931";2004;1;1
"1287";864;1;1
"1533";1559;0;1
"957";944;0;1
"2809";2051;1;1
"2966";2163;1;1
"2651";142;0;1
"1602";1432;0;1
"1247";1972;0;1
"2562";951;0;1
"2981";2091;0;1
"1837";2254;1;1
"2594";1893;0;1
"2769";1023;1;1
"768";892;0;1
"1946";1397;0;1
"2980";2090;0;1
"2322";317;0;1
"2104";2328;0;1
"2017";1297;0;1
"2094";1355;1;1
"434";98;1;1
"878";1992;1;1
"2340";744;1;1
"497";2310;0;1
"3127";1900;1;1
"1117";216;0;1
"1719";1063;0;1
"2740";472;1;1
"2173";2114;1;1
"1876";517;1;1
"686";2228;1;1
"1083";2237;0;1
"1480";885;0;1
"569";940;0;1
"2360";2371;1;1
"1902";541;0;1
"2650";141;0;1
"24";387;0;1
"1341";196;0;1
"347";716;0;1
"1360";18;1;1
"1039";538;0;1
"2563";952;0;1
"1043";60;1;1
"827";1677;1;1
"1438";811;0;1
"1992";1290;1;1
"2799";1621;0;1
"2092";233;1;1
"1327";1419;1;1
"6";773;0;1
"1418";2314;1;1
"350";719;1;1
"774";284;0;1
"3071";1796;0;1
"552";2131;1;1
"3089";2278;0;1
"1810";506;1;1
"2448";1511;1;1
"17";832;1;1
"2281";1723;1;1
"332";712;0;1
"1584";1429;0;1
"2499";1749;0;1
"433";97;1;1
"2267";1786;1;1
"1704";815;1;1
"409";1383;1;1
"2400";1453;1;1
"2162";469;0;1
"1521";277;0;1
"3022";1626;0;1
"1839";137;0;1
"1192";960;1;1
"1700";2192;0;1
"1848";1286;0;1
"2709";1038;0;1
"843";438;0;1
"1197";702;0;1
"1930";1177;1;1
"837";150;0;1
"1795";2253;0;1
"2378";1847;1;1
"1971";790;1;1
"2700";1422;1;1
"2885";2276;0;1
"1656";1780;0;1
"1701";1859;1;1
"2053";1307;0;1
"375";1371;0;1
"2958";855;0;1
"2991";607;1;1
"89";2408;1;1
"133";1117;0;1
"211";2396;1;1
"485";2020;1;1
"739";2173;0;1
"1547";813;1;1
"1089";464;0;1
"2848";1086;0;1
"901";1331;1;1
"1679";447;1;1
"1439";2028;0;1
"1500";846;0;1
"248";1803;0;1
"1131";1710;1;1
"1264";499;1;1
"3045";1833;1;1
"1312";907;1;1
"1266";1996;0;1
"872";512;0;1
"2208";1476;0;1
"3115";874;0;1
"1716";1062;0;1
"1693";2327;1;1
"177";1542;1;1
"692";667;1;1
"2405";1007;0;1
"1159";1322;0;1
